Actual_Trend,Predicted_Trend,Values
1,1,33916
-1,-1,32977
1,1,33061
1,-1,33128
1,1,34061
-1,-1,32997
-1,1,32899
-1,-1,32245
-1,1,32160
-1,-1,31834
-1,1,31730
1,1,32196
1,-1,32223
1,1,32654
-1,-1,31490
-1,1,31253
1,1,31261
1,-1,31880
1,1,31928
1,1,32120
1,1,32637
1,-1,33212
-1,1,32990
-1,-1,32813
1,-1,33248
-1,1,32899
1,-1,32915
1,1,33180
-1,-1,32910
-1,1,32272
-1,-1,31392
-1,1,30516
-1,1,30364
1,1,30668
-1,-1,29927
-1,1,29888
1,-1,30530
-1,1,30483
1,-1,30677
1,1,31500
-1,-1,31438
-1,-1,30946
1,-1,31029
-1,1,30775
1,-1,31097
-1,1,30967
1,1,31037
1,-1,31384
-1,1,31338
-1,-1,31173
-1,-1,30981
-1,-1,30772
-1,1,30630
1,1,31288
-1,-1,31072
1,1,31827
1,-1,31874
1,1,32036
-1,-1,31899
1,1,31990
-1,-1,31761
1,1,32197
1,-1,32529
1,1,32845
-1,-1,32798
-1,-1,32396
1,-1,32812
-1,1,32726
1,1,32803
1,-1,32832
-1,1,32774
1,-1,33309
1,1,33336
1,-1,33761
1,1,33912
1,-1,34152
-1,1,33980
1,-1,33999
-1,1,33706
-1,1,33063
-1,-1,32909
1,1,32969
1,-1,33291
-1,1,32283
-1,-1,32098
-1,1,31790
-1,1,31510
1,1,31656
-1,-1,31318
-1,1,31145
1,1,31581
1,-1,31774
1,1,32151
1,-1,32381
-1,1,31104
1,-1,31135
-1,1,30961
-1,-1,30822
1,1,31019
-1,-1,30706
-1,1,30183
-1,-1,30076
-1,1,29590
-1,-1,29260
-1,1,29134
1,1,29683
-1,-1,29225
-1,1,28725
1,-1,29490
1,1,30316
-1,-1,30273
-1,1,29926
-1,-1,29296
-1,-1,29202
1,1,29239
-1,-1,29210
1,1,30038
-1,-1,29634
1,1,30185
1,-1,30523
-1,1,30423
-1,-1,30333
1,-1,31082
1,1,31499
1,-1,31836
1,1,31839
1,-1,32033
1,1,32861
-1,-1,32732
-1,-1,32653
-1,-1,32147
-1,-1,32001
1,-1,32403
1,1,32827
1,-1,33160
-1,1,32513
1,-1,33715
1,1,33747
-1,-1,33536
1,1,33592
-1,-1,33553
-1,1,33546
1,-1,33745
-1,1,33700
1,1,34098
1,-1,34194
1,1,34347
-1,-1,33849
1,1,33852
1,-1,34589
-1,1,34395
1,-1,34429
-1,1,33947
-1,-1,33596
1,1,33597
1,-1,33781
-1,1,33476
1,-1,34005
1,1,34108
-1,-1,33966
-1,1,33202
-1,-1,32920
-1,-1,32757
1,1,32849
1,1,33376
-1,-1,33027
1,1,33203
1,-1,33241
-1,1,32875
1,-1,33220
-1,1,33147
-1,1,33136
1,1,33269
-1,-1,32930
1,1,33630
-1,-1,33517
1,1,33704
1,-1,33973
1,1,34189
1,-1,34302
-1,1,33910
-1,-1,33296
-1,-1,33044
1,1,33375
1,-1,33629
1,1,33733
1,-1,33743
1,1,33949
1,-1,33978
-1,1,33717
1,-1,34086
1,1,34092
-1,-1,34053
-1,1,33926
-1,-1,33891
1,1,34156
-1,-1,33949
-1,1,33699
1,-1,33869
1,1,34245
-1,-1,34089
1,1,34128
-1,-1,33696
1,1,33826
-1,-1,33129
-1,1,33045
1,-1,33153
-1,1,32816
1,-1,32889
-1,1,32656
1,1,32661
1,-1,33003
1,1,33390
1,-1,33431
-1,1,32856
-1,-1,32798
-1,1,32254
-1,-1,31909
-1,1,31819
1,1,32155
-1,-1,31874
1,1,32246
-1,-1,31861
